Ion,Dose,Ion Energy,Wavelength,Rep. Rate,Power,Temperature,Rs
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
1.0,5.0,25.0,355.0,50.0,2.33,25.0,3306.666667
2.0,20.0,40.0,532.0,100.0,4.5,25.0,336.3333333
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
1.0,5.0,55.0,355.0,100.0,0.5,25.0,55506666.67
1.0,20.0,40.0,532.0,50.0,6.0,25.0,119.2333333
2.0,5.0,55.0,355.0,100.0,1.5,25.0,11840000.0
2.0,20.0,10.0,355.0,100.0,0.5,25.0,450700000.0
2.0,50.0,55.0,532.0,50.0,3.0,300.0,77.38333333
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
1.0,5.0,25.0,355.0,100.0,1.0,25.0,35676666.67
2.0,8.0,55.0,355.0,100.0,2.0,300.0,5625.666667
2.0,5.0,25.0,355.0,100.0,1.0,25.0,49196666.67
1.0,5.0,10.0,355.0,100.0,0.5,25.0,325500000.0
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
1.0,50.0,55.0,532.0,50.0,6.0,25.0,54.24666667
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
2.0,8.0,10.0,355.0,50.0,1.66,300.0,846.0666667
1.0,20.0,40.0,355.0,50.0,2.33,25.0,259.0666667
1.0,5.0,40.0,532.0,50.0,1.5,25.0,587166.6667
1.0,8.0,10.0,532.0,100.0,3.0,300.0,1402.0
1.0,8.0,40.0,532.0,100.0,6.0,300.0,926.0
2.0,20.0,55.0,532.0,100.0,3.0,25.0,1765.666667
1.0,5.0,10.0,355.0,50.0,1.0,25.0,1742333.333
2.0,5.0,25.0,532.0,50.0,6.0,300.0,458.6666667
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
2.0,50.0,55.0,532.0,50.0,6.0,300.0,55.19333333
2.0,20.0,40.0,355.0,50.0,3.0,300.0,131.6666667
1.0,8.0,55.0,532.0,50.0,1.5,300.0,12486.66667
2.0,5.0,40.0,355.0,50.0,3.0,300.0,1064.333333
1.0,5.0,10.0,355.0,50.0,1.0,25.0,1742333.333
1.0,5.0,10.0,532.0,100.0,6.0,25.0,3617.666667
1.0,8.0,10.0,532.0,50.0,3.0,300.0,743.8
2.0,50.0,55.0,532.0,100.0,6.0,25.0,109.4666667
2.0,50.0,10.0,532.0,100.0,1.5,300.0,100000000000.0
1.0,20.0,40.0,532.0,50.0,1.5,25.0,2304.0
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
1.0,5.0,10.0,532.0,100.0,3.0,300.0,3282.666667
2.0,5.0,10.0,355.0,100.0,1.5,25.0,122933333.3
1.0,5.0,10.0,355.0,50.0,1.0,25.0,1742333.333
2.0,5.0,55.0,355.0,100.0,2.0,300.0,10960.0
1.0,5.0,10.0,355.0,50.0,1.0,25.0,1742333.333
2.0,20.0,40.0,532.0,50.0,3.0,25.0,297.9666667
1.0,5.0,10.0,355.0,50.0,1.0,25.0,1742333.333
1.0,5.0,10.0,355.0,50.0,1.0,25.0,1742333.333
Best Timestep,21,Minimum Rs,54.24666667
Count berfore best timestep,13,Total count,34
