Ion,Dose,Ion Energy,Wavelength,Rep. Rate,Power,Temperature,Rs
2.0,50.0,55.0,355.0,50.0,1.66,300.0,146.6
1.0,50.0,55.0,532.0,100.0,4.5,25.0,208.3333333
2.0,50.0,55.0,355.0,50.0,3.0,300.0,65.14
2.0,20.0,40.0,355.0,50.0,2.33,300.0,153.4666667
2.0,20.0,40.0,355.0,50.0,1.66,25.0,521.9666667
2.0,50.0,25.0,532.0,50.0,1.5,300.0,322.6666667
2.0,20.0,10.0,355.0,100.0,0.5,25.0,450700000.0
1.0,50.0,25.0,532.0,50.0,3.0,300.0,65.69
2.0,50.0,10.0,355.0,50.0,1.0,25.0,396366.6667
1.0,50.0,10.0,355.0,100.0,1.0,25.0,16796666.67
2.0,20.0,25.0,532.0,100.0,3.0,25.0,1179.333333
1.0,20.0,40.0,355.0,50.0,1.66,25.0,713.9
2.0,50.0,40.0,532.0,50.0,1.5,25.0,550.35
2.0,20.0,25.0,532.0,50.0,1.5,25.0,1592.333333
2.0,8.0,40.0,532.0,100.0,1.5,25.0,31150000.0
1.0,8.0,40.0,355.0,100.0,0.5,25.0,70260000.0
1.0,8.0,40.0,532.0,100.0,1.5,25.0,21230000.0
2.0,20.0,55.0,355.0,50.0,1.66,300.0,335.9666667
1.0,50.0,55.0,532.0,100.0,4.5,25.0,208.3333333
2.0,20.0,40.0,355.0,50.0,1.66,300.0,342.2
2.0,50.0,55.0,355.0,50.0,1.66,300.0,146.6
1.0,50.0,55.0,532.0,50.0,3.0,25.0,149.7666667
1.0,20.0,55.0,532.0,50.0,3.0,300.0,202.0666667
1.0,50.0,40.0,532.0,100.0,1.5,300.0,348530000.0
2.0,50.0,55.0,355.0,50.0,1.66,25.0,185.1
2.0,20.0,40.0,355.0,50.0,1.0,300.0,1226.333333
1.0,50.0,55.0,532.0,100.0,3.0,25.0,463.3333333
2.0,50.0,40.0,532.0,50.0,4.5,25.0,61.23
1.0,50.0,25.0,532.0,50.0,3.0,25.0,104.2666667
2.0,50.0,40.0,355.0,100.0,1.5,300.0,1880.0
1.0,8.0,40.0,355.0,100.0,1.0,25.0,23083333.33
1.0,5.0,55.0,355.0,50.0,1.66,25.0,127433.3333
1.0,5.0,40.0,355.0,50.0,1.0,25.0,7086333.333
1.0,5.0,40.0,355.0,50.0,1.66,25.0,35216.66667
2.0,8.0,55.0,532.0,100.0,4.5,300.0,762.0
1.0,20.0,40.0,355.0,50.0,3.0,25.0,179.3666667
2.0,20.0,55.0,355.0,100.0,1.5,25.0,1500000.0
1.0,50.0,55.0,532.0,50.0,6.0,300.0,50.27
2.0,50.0,40.0,355.0,50.0,3.0,300.0,65.95
1.0,20.0,55.0,532.0,50.0,6.0,300.0,114.7666667
2.0,20.0,55.0,532.0,50.0,3.0,25.0,321.0333333
1.0,50.0,40.0,532.0,100.0,3.0,25.0,417.87
2.0,50.0,55.0,532.0,50.0,4.5,300.0,55.70333333
1.0,50.0,55.0,355.0,100.0,2.0,25.0,5160.666667
2.0,20.0,55.0,355.0,50.0,3.0,300.0,131.1
1.0,50.0,40.0,355.0,100.0,1.5,25.0,13860.0
1.0,20.0,25.0,355.0,100.0,1.0,25.0,49223333.33
2.0,50.0,40.0,532.0,50.0,4.5,300.0,55.98666667
1.0,50.0,55.0,355.0,100.0,2.0,25.0,5160.666667
2.0,20.0,40.0,532.0,100.0,6.0,300.0,168.5
Best Timestep,38,Minimum Rs,50.27
Count berfore best timestep,36,Total count,47
