Ion,Dose,Ion Energy,Wavelength,Rep. Rate,Power,Temperature,Rs
1.0,50.0,40.0,532.0,100.0,3.0,300.0,242.37
1.0,50.0,55.0,532.0,100.0,4.5,300.0,130.6666667
1.0,20.0,40.0,532.0,100.0,6.0,300.0,145.9666667
1.0,20.0,40.0,532.0,100.0,4.5,25.0,501.9666667
2.0,50.0,40.0,532.0,50.0,6.0,300.0,57.45
1.0,50.0,25.0,532.0,50.0,6.0,300.0,44.32333333
2.0,50.0,10.0,532.0,50.0,6.0,300.0,58.41
1.0,50.0,10.0,355.0,50.0,2.33,25.0,89.73
1.0,50.0,25.0,532.0,50.0,6.0,300.0,44.32333333
2.0,20.0,40.0,532.0,50.0,4.5,300.0,110.2333333
2.0,20.0,55.0,355.0,50.0,1.66,25.0,563.3333333
2.0,50.0,55.0,532.0,50.0,4.5,300.0,55.70333333
2.0,50.0,55.0,355.0,50.0,3.0,300.0,65.14
2.0,20.0,40.0,355.0,100.0,2.0,300.0,1340.333333
1.0,20.0,40.0,532.0,100.0,4.5,300.0,308.2666667
1.0,50.0,40.0,355.0,50.0,3.0,300.0,53.85
1.0,50.0,25.0,532.0,100.0,6.0,300.0,59.42
1.0,50.0,40.0,532.0,50.0,6.0,25.0,50.58
2.0,20.0,25.0,532.0,50.0,6.0,300.0,109.5333333
1.0,50.0,25.0,355.0,50.0,3.0,25.0,62.24
1.0,50.0,55.0,532.0,50.0,3.0,300.0,75.7
1.0,50.0,55.0,355.0,50.0,2.33,300.0,73.72
1.0,50.0,40.0,355.0,100.0,2.0,300.0,340.65
1.0,20.0,40.0,532.0,50.0,4.5,300.0,95.7
1.0,50.0,25.0,355.0,50.0,2.33,25.0,71.15
2.0,50.0,25.0,355.0,50.0,3.0,300.0,64.15
1.0,50.0,25.0,355.0,100.0,1.5,300.0,1140.333333
2.0,50.0,10.0,355.0,100.0,1.0,300.0,312533333.3
2.0,50.0,10.0,355.0,50.0,2.33,25.0,106.3666667
2.0,50.0,25.0,532.0,50.0,6.0,25.0,57.98666667
1.0,8.0,40.0,355.0,100.0,1.0,300.0,2511000000.0
1.0,5.0,55.0,355.0,100.0,1.0,300.0,1789666667.0
1.0,8.0,40.0,532.0,50.0,4.5,25.0,473.8333333
2.0,20.0,40.0,355.0,100.0,1.5,300.0,27813.33333
2.0,50.0,55.0,532.0,50.0,4.5,300.0,55.70333333
1.0,50.0,40.0,355.0,50.0,2.33,300.0,62.09
1.0,20.0,55.0,532.0,100.0,6.0,25.0,421.5333333
1.0,20.0,40.0,532.0,50.0,4.5,300.0,95.7
1.0,8.0,40.0,355.0,50.0,3.0,300.0,484.1
1.0,8.0,25.0,532.0,50.0,6.0,25.0,424.8333333
1.0,50.0,25.0,532.0,50.0,3.0,25.0,104.2666667
2.0,50.0,10.0,355.0,50.0,2.33,25.0,106.3666667
2.0,20.0,10.0,355.0,100.0,2.0,300.0,1581.333333
2.0,50.0,25.0,355.0,100.0,2.0,300.0,440.2666667
1.0,50.0,10.0,532.0,50.0,6.0,25.0,51.67333333
1.0,20.0,25.0,355.0,50.0,3.0,300.0,115.7
2.0,50.0,25.0,532.0,50.0,6.0,25.0,57.98666667
2.0,20.0,25.0,355.0,50.0,2.33,25.0,216.0
2.0,20.0,25.0,532.0,50.0,6.0,300.0,109.5333333
2.0,20.0,40.0,355.0,50.0,2.33,25.0,218.0666667
Best Timestep,6,Minimum Rs,44.32333333
Count berfore best timestep,6,Total count,44
