Ion,Dose,Ion Energy,Wavelength,Rep. Rate,Power,Temperature,Rs
2.0,50.0,55.0,355.0,50.0,1.66,300.0,146.6
1.0,50.0,40.0,532.0,50.0,4.5,300.0,47.8
1.0,50.0,25.0,532.0,50.0,6.0,300.0,44.32333333
1.0,20.0,40.0,532.0,50.0,6.0,25.0,119.2333333
2.0,50.0,55.0,532.0,50.0,6.0,300.0,55.19333333
2.0,50.0,40.0,532.0,50.0,6.0,300.0,57.45
2.0,50.0,55.0,532.0,50.0,6.0,300.0,55.19333333
1.0,50.0,40.0,355.0,50.0,2.33,25.0,72.52
2.0,50.0,25.0,532.0,50.0,6.0,300.0,54.88666667
1.0,20.0,40.0,532.0,50.0,4.5,300.0,95.7
2.0,20.0,55.0,355.0,50.0,1.66,25.0,563.3333333
2.0,50.0,40.0,532.0,50.0,4.5,300.0,55.98666667
2.0,50.0,40.0,532.0,50.0,6.0,300.0,57.45
2.0,20.0,40.0,532.0,100.0,4.5,300.0,254.8666667
1.0,20.0,40.0,355.0,100.0,1.0,300.0,100000000000.0
1.0,50.0,25.0,532.0,50.0,4.5,300.0,45.19
1.0,50.0,10.0,532.0,50.0,6.0,300.0,48.4
1.0,50.0,10.0,532.0,50.0,6.0,300.0,48.4
1.0,50.0,10.0,532.0,50.0,6.0,300.0,48.4
2.0,50.0,25.0,355.0,50.0,2.33,25.0,92.64333333
1.0,50.0,40.0,355.0,50.0,1.66,300.0,118.83
2.0,50.0,55.0,532.0,50.0,4.5,300.0,55.70333333
2.0,50.0,40.0,532.0,100.0,6.0,300.0,78.31
2.0,50.0,55.0,532.0,100.0,6.0,300.0,70.13666667
1.0,50.0,40.0,532.0,50.0,6.0,300.0,47.54
1.0,50.0,25.0,532.0,50.0,6.0,300.0,44.32333333
2.0,50.0,25.0,532.0,100.0,4.5,300.0,126.8666667
1.0,50.0,10.0,532.0,100.0,3.0,300.0,199.3666667
1.0,50.0,25.0,532.0,100.0,4.5,300.0,104.4
1.0,50.0,10.0,532.0,100.0,6.0,300.0,63.37
1.0,50.0,40.0,532.0,50.0,3.0,300.0,76.3
1.0,20.0,40.0,532.0,50.0,4.5,300.0,95.7
1.0,50.0,40.0,532.0,50.0,6.0,300.0,47.54
2.0,50.0,40.0,355.0,100.0,2.0,25.0,1760.0
2.0,50.0,40.0,532.0,50.0,6.0,300.0,57.45
1.0,50.0,25.0,355.0,50.0,3.0,300.0,53.30333333
1.0,50.0,10.0,532.0,50.0,6.0,300.0,48.4
1.0,50.0,10.0,532.0,50.0,6.0,300.0,48.4
1.0,50.0,10.0,532.0,50.0,6.0,300.0,48.4
1.0,50.0,10.0,532.0,50.0,6.0,300.0,48.4
1.0,50.0,40.0,532.0,50.0,3.0,300.0,76.3
1.0,50.0,25.0,532.0,50.0,4.5,300.0,45.19
1.0,50.0,40.0,532.0,50.0,6.0,300.0,47.54
1.0,50.0,40.0,532.0,50.0,6.0,300.0,47.54
1.0,50.0,40.0,532.0,50.0,6.0,300.0,47.54
1.0,50.0,40.0,532.0,50.0,6.0,300.0,47.54
1.0,50.0,40.0,532.0,50.0,6.0,300.0,47.54
1.0,20.0,40.0,355.0,50.0,2.33,300.0,168.8666667
1.0,50.0,40.0,532.0,50.0,6.0,300.0,47.54
1.0,50.0,40.0,532.0,50.0,6.0,300.0,47.54
Best Timestep,3,Minimum Rs,44.32333333
Count berfore best timestep,3,Total count,29
